Race Number,Lane 1,Lane 2,Lane 3,Lane 4
1,1,2,3,49
2,49,1,2,3
3,3,49,1,2
4,2,3,49,1
5,4,5,6,7
6,5,8,7,4
7,7,4,8,6
8,6,7,5,8
9,8,6,4,5
10,9,10,11,12
11,13,14,15,16
12,10,13,18,9
13,11,12,14,17
14,12,9,13,14
15,15,16,17,18
16,14,17,10,15
17,16,18,9,11
18,17,11,16,13
19,18,15,12,10
20,19,20,21,22
21,23,24,25,0
22,20,23,19,24
23,21,22,0,25
24,22,25,24,19
25,0,21,20,23
26,24,0,22,20
27,25,19,23,21
28,26,28,29,30
29,31,32,33,34
30,28,31,35,26
31,29,30,32,33
32,30,26,31,32
33,33,34,28,35
34,32,29,34,28
35,35,33,30,31
36,34,35,26,29
37,36,37,38,39
38,39,36,37,38
39,38,39,36,37
40,37,38,39,36
41,40,41,42,44
42,46,47,48,50
43,41,46,40,47
44,42,44,50,48
45,44,48,47,40
46,50,42,41,46
47,47,50,44,41
48,48,40,46,42
49,0,43,45,0
50,0,45,43,0
